id,year,month,day,hour,lat,lon,label,u200,v200,u850,v850,shear_200_850,rh600_700,t500,tcwv,sst_c,mslp_hpa,nino34_anom,romi1,romi2,amo_ssta,nao_index,qbo_30mb
AL232005,2005,10,12,18,38.7,-73.5,0,14.301862716674805,-11.864534378051758,-6.664341449737549,1.4629656076431274,24.84359017968989,56.198408126831055,263.8017578125,35.89788055419922,22.559350585937523,1015.623515625,-0.07,1.41634,1.82771,0.63,-0.98,-28.76
AL212003,2003,12,9,18,21.0,-37.0,0,6.753952980041504,-18.50318145751953,-0.1636281311511993,7.457266330718994,26.86629445598683,53.32782745361328,262.0928955078125,35.9752311706543,25.935845947265648,1010.929765625,0.34,0.33188,1.18806,0.53,0.64,-11.38
AL172001,2001,11,25,12,31.7,-53.5,1,-2.1324267387390137,1.7301453351974487,-6.088727951049805,-2.795208215713501,6.010918735374333,74.06453323364258,261.12225341796875,36.21757507324219,23.06148681640628,999.635546875,-0.48,-0.40495,0.44581,0.4,0.63,-3.88
AL102018,2018,9,12,0,37.0,-39.8,0,5.53346586227417,8.636580467224121,-2.6844162940979004,-4.375621318817139,15.38996369250668,59.60965347290039,262.11865234375,36.40950775146485,26.328790283203148,1018.975859375,0.33,0.22016,0.26347,0.61,1.6736,-9.91
AL012016,2016,1,13,6,25.6,-33.6,1,14.15278434753418,-7.720744609832764,5.332101345062256,1.2164300680160522,12.556971762828775,76.73054122924805,261.4336853027344,36.53083801269531,22.728204345703148,998.649765625,2.47,2.80803,2.88232,0.72,0.1165,9.34
AL012015,2015,5,9,0,31.9,-77.3,0,2.389476776123047,-2.8474321365356445,-0.9656617045402528,2.7180840969085693,6.498609479662453,58.60860633850098,263.1249084472656,36.61849594116211,23.893395996093773,1014.1934375,0.83,0.13963,0.57619,0.41,0.1455,-12.33
AL302005,2005,12,1,18,31.4,-51.3,1,11.733253479003906,0.9441976547241212,3.223982334136963,4.073375701904297,9.066391270390856,68.60220336914062,261.73638916015625,36.67780685424805,23.163262939453148,1000.236953125,-0.8,0.23515,0.28872,0.51,-0.44,-25.04
AL032012,2012,6,20,6,38.3,-54.7,1,8.722707748413086,-7.402099132537842,8.358888626098633,-0.6448908448219299,6.7669955074123,63.94276809692383,262.11065673828125,37.20698928833008,22.0002380371094,1011.064296875,0.24,-0.14922,1.01825,0.58,-2.5309,-25.89
AL142013,2013,11,19,6,30.8,-54.7,0,3.4270899295806885,8.736123085021973,-1.0112242698669434,4.190685749053955,6.352923225431778,65.01066970825195,262.3798217773437,37.62815475463867,23.855096435546898,997.05640625,-0.09,-0.12938,0.65733,0.57,0.9008,12.45
AL152021,2021,9,20,0,44.1,-54.1,0,19.76658058166504,24.45727157592773,1.7306257486343384,-0.1440468728542328,30.50443469657328,61.093048095703125,265.6885986328125,37.74104309082031,17.523461914062523,996.8140625,-0.27,-0.38625,0.4527,0.83,-0.2137,-16.56
AL012020,2020,5,19,12,37.0,-69.5,0,19.23089027404785,3.3842883110046387,1.9133859872817995,-1.4923545122146606,17.99104221404132,66.56568336486816,265.3775939941406,38.06736373901367,18.517480468750023,1010.875625,-0.21,0.77763,1.27069,0.65,-0.4098,-4.86
AL162022,2022,11,1,12,35.3,-56.7,1,9.413193702697754,4.519784450531006,2.423192262649536,-3.000035524368286,10.266830698261783,51.42510223388672,264.6045227050781,38.70175552368164,25.547235107421898,1008.806875,-0.93,0.44236,0.4999,0.83,0.6922,12.45
AL141998,1998,11,29,0,28.8,-46.5,1,16.362796783447266,1.5103952884674072,-2.1228628158569336,4.919631481170654,18.79740679559245,66.6959342956543,262.5820617675781,38.84479522705078,24.85469970703128,1016.527734375,-1.31,-0.40905,0.62645,0.49,-0.28,-12.22
AL142019,2019,10,10,0,38.9,-68.2,0,34.45132827758789,14.600115776062012,-6.406871795654297,-0.0814284160733223,43.41589862125061,60.19440650939941,265.3896484375,38.85345458984375,22.535791015625023,1011.692734375,0.52,0.46454,0.50665,0.66,-1.4134,7.27
AL162004,2004,11,29,18,30.2,-48.8,0,2.857147693634033,6.511168956756592,-4.799420356750488,3.709439516067505,8.153080532473172,73.56428146362305,262.1644592285156,39.30670166015625,23.136102294921898,1004.34828125,0.59,-1.70158,1.70867,0.52,0.73,4.35
AL142001,2001,10,30,0,28.5,-44.6,0,-6.324207782745361,3.321950674057007,-3.693114757537842,2.9894604682922363,2.6520181455309007,50.10272979736328,263.4281311035156,39.43460464477539,26.273553466796898,1017.80953125,-0.25,0.45228,0.46663,0.47,-0.24,-10.81
AL061992,1992,9,22,12,31.6,-34.0,1,-0.6250319480895996,2.0677366256713867,0.302950382232666,4.053675174713135,2.1920545444765707,63.02494239807129,262.1848449707031,39.62519454956055,25.549249267578148,1016.91234375,-0.16,0.69108,0.72702,-0.33,-0.44,1.3
AL031992,1992,7,25,0,28.8,-62.7,0,-8.302583694458008,-7.779041290283203,-1.192354679107666,1.3427417278289795,11.56556449466474,42.77567863464356,264.91510009765625,40.0368537902832,28.209313964843773,1024.030625,0.15,-0.07984,0.94977,-0.24,0.16,-12.05
AL212005,2005,10,4,18,37.1,-26.7,0,11.432727813720703,15.09957218170166,5.5910162925720215,6.23517656326294,10.61617177595186,73.40160751342773,262.3298034667969,40.13682174682617,23.295678710937523,1009.37078125,-0.07,1.05804,1.1002,0.63,-0.98,-28.76
AL192017,2017,11,8,6,36.4,-48.7,0,9.520543098449709,7.284679889678955,-1.195436716079712,7.390578746795654,10.716503065521914,80.22945404052734,262.2757568359375,40.31541061401367,22.949975585937523,1010.797578125,-0.91,0.43391,0.77841,0.91,-0.0049,-17.2
